Spot, Strike, Vol, Expiry, BSC_An_price, MC_price, numberPaths 
40.5,58,0.0100001,1e-07,1e-07,1e-07,10000,
40.5,58,0.0100001,0.2,1e-07,1e-07,10000,
40.5,58,0.0100001,0.4,1e-07,1e-07,10000,
40.5,58,0.0100001,0.6,1e-07,1e-07,10000,
40.5,58,0.0100001,0.8,1e-07,1e-07,10000,
40.5,58,0.0100001,1,1e-07,1e-07,10000,
40.5,58,0.0480001,1e-07,1e-07,1e-07,10000,
40.5,58,0.0480001,0.2,1e-07,1e-07,10000,
40.5,58,0.0480001,0.4,1e-07,1e-07,10000,
40.5,58,0.0480001,0.6,1e-07,1e-07,10000,
40.5,58,0.0480001,0.8,1e-07,1e-07,10000,
40.5,58,0.0480001,1,1.0002e-07,1e-07,10000,
40.5,58,0.0860001,1e-07,1e-07,1e-07,10000,
40.5,58,0.0860001,0.2,1e-07,1e-07,10000,
40.5,58,0.0860001,0.4,1.00089e-07,1e-07,10000,
40.5,58,0.0860001,0.6,3.31412e-07,0.000128438,10000,
40.5,58,0.0860001,0.8,1.34032e-05,0.000638737,10000,
40.5,58,0.0860001,1,0.000162185,0.00199792,10000,
40.5,58,0.124,1e-07,1e-07,1e-07,10000,
40.5,58,0.124,0.2,1.00061e-07,1e-07,10000,
40.5,58,0.124,0.4,6.15406e-06,0.000441371,10000,
40.5,58,0.124,0.6,0.000357303,0.00304111,10000,
40.5,58,0.124,0.8,0.00307806,0.00837664,10000,
40.5,58,0.124,1,0.0119813,0.0204761,10000,
40.5,58,0.162,1e-07,1e-07,1e-07,10000,
40.5,58,0.162,0.2,5.81924e-07,0.000193527,10000,
40.5,58,0.162,0.4,0.00060101,0.00397973,10000,
40.5,58,0.162,0.6,0.00813539,0.0160414,10000,
40.5,58,0.162,0.8,0.0333274,0.0465938,10000,
40.5,58,0.162,1,0.0826388,0.0995133,10000,
40.5,58,0.2,1e-07,1e-07,1e-07,10000,
40.5,58,0.2,0.2,4.70098e-05,0.00115963,10000,
40.5,58,0.2,0.4,0.00682951,0.0144771,10000,
40.5,58,0.2,0.6,0.0445833,0.0597966,10000,
40.5,58,0.2,0.8,0.125892,0.145445,10000,
40.5,58,0.2,1,0.248543,0.270011,10000,
41,42,0.0100001,1e-07,1e-07,1e-07,10000,
41,42,0.0100001,0.2,4.08536e-05,0.000163356,10000,
41,42,0.0100001,0.4,0.040514,0.0401929,10000,
41,42,0.0100001,0.6,0.281967,0.281604,10000,
41,42,0.0100001,0.8,0.652333,0.652886,10000,
41,42,0.0100001,1,1.04898,1.04941,10000,
41,42,0.0480001,1e-07,1e-07,1e-07,10000,
41,42,0.0480001,0.2,0.136177,0.135128,10000,
41,42,0.0480001,0.4,0.417905,0.413759,10000,
41,42,0.0480001,0.6,0.734592,0.729459,10000,
41,42,0.0480001,0.8,1.0673,1.06326,10000,
41,42,0.0480001,1,1.40934,1.40634,10000,
41,42,0.0860001,1e-07,1e-07,1e-07,10000,
41,42,0.0860001,0.2,0.384545,0.381261,10000,
41,42,0.0860001,0.4,0.809728,0.80201,10000,
41,42,0.0860001,0.6,1.2111,1.20127,10000,
41,42,0.0860001,0.8,1.59791,1.58783,10000,
41,42,0.0860001,1,1.97489,1.96526,10000,
41,42,0.124,1e-07,1e-07,1e-07,10000,
41,42,0.124,0.2,0.651671,0.64568,10000,
41,42,0.124,0.4,1.20265,1.19156,10000,
41,42,0.124,0.6,1.68943,1.67524,10000,
41,42,0.124,0.8,2.14072,2.12534,10000,
41,42,0.124,1,2.56863,2.55258,10000,
41,42,0.162,1e-07,1e-07,1e-07,10000,
41,42,0.162,0.2,0.924625,0.915991,10000,
41,42,0.162,0.4,1.59574,1.58149,10000,
41,42,0.162,0.6,2.16803,2.14991,10000,
41,42,0.162,0.8,2.68681,2.66638,10000,
