Spot, Strike, Vol, Expiry, BSC_An_Vega, BSC_Bumped_Vega, MC_Results, NumberOfPaths 
44.5,50,0.0100001,1,1.04479e-07,1.04509e-07,1e-07,10000,
44.5,50,0.0480001,1e-07,1e-07,1e-07,1e-07,10000,
44.5,50,0.0480001,0.2,3.76475e-05,3.7435e-05,3.62633e-05,10000,
44.5,50,0.0480001,0.4,0.0750799,0.0750486,0.0012477,10000,
44.5,50,0.0480001,0.6,0.956822,0.956869,0.00837938,10000,
44.5,50,0.0480001,0.8,3.36722,3.36727,0.0329699,10000,
44.5,50,0.0480001,1,7.0207,7.02062,0.0860732,10000,
44.5,50,0.0860001,1e-07,1e-07,1e-07,1e-07,10000,
44.5,50,0.0860001,0.2,0.180607,0.180594,0.00332024,10000,
44.5,50,0.0860001,0.4,2.43838,2.43841,0.0430475,10000,
44.5,50,0.0860001,0.6,6.17272,6.17264,0.144409,10000,
44.5,50,0.0860001,0.8,10.0495,10.0495,0.29845,10000,
44.5,50,0.0860001,1,13.594,13.5941,0.494715,10000,
44.5,50,0.124,1e-07,1e-07,1e-07,1e-07,10000,
44.5,50,0.124,0.2,1.32233,1.32237,0.0317983,10000,
44.5,50,0.124,0.4,5.51973,5.51966,0.195942,10000,
44.5,50,0.124,0.6,9.55839,9.55841,0.445304,10000,
44.5,50,0.124,0.8,12.9827,12.9828,0.740031,10000,
44.5,50,0.124,1,15.8623,15.8624,1.05855,10000,
44.5,50,0.162,1e-07,1e-07,1e-07,1e-07,10000,
44.5,50,0.162,0.2,2.83855,2.83853,0.111344,10000,
44.5,50,0.162,0.4,7.5497,7.5497,0.443063,10000,
44.5,50,0.162,0.6,11.2984,11.2985,0.842331,10000,
44.5,50,0.162,0.8,14.3124,14.3124,1.2599,10000,
44.5,50,0.162,1,16.8138,16.8137,1.67866,10000,
44.5,50,0.2,1e-07,1e-07,1e-07,1e-07,10000,
44.5,50,0.2,0.2,4.11549,4.11545,0.243128,10000,
44.5,50,0.2,0.4,8.78864,8.7887,0.752814,10000,
44.5,50,0.2,0.6,12.2485,12.2485,1.29022,10000,
44.5,50,0.2,0.8,14.9951,14.9951,1.81597,10000,
44.5,50,0.2,1,17.2789,17.2788,2.32442,10000,
45,50,0.0100001,1e-07,1e-07,1e-07,1e-07,10000,
45,50,0.0100001,0.2,1e-07,1e-07,1e-07,10000,
45,50,0.0100001,0.4,1e-07,1e-07,1e-07,10000,
45,50,0.0100001,0.6,1e-07,1e-07,1e-07,10000,
45,50,0.0100001,0.8,1.00042e-07,1.00043e-07,1e-07,10000,
45,50,0.0100001,1,4.18356e-06,4.14915e-06,1e-07,10000,
45,50,0.0480001,1e-07,1e-07,1e-07,1e-07,10000,
45,50,0.0480001,0.2,0.000436658,0.000435129,9.22904e-05,10000,
45,50,0.0480001,0.4,0.227412,0.227391,0.00238669,10000,
